Brand,Model,Year,Status,Mileage,Dealer,Price,Age,PriceRange,Yearly_Miles
gmc,yukon,2023,new,0.0,Sterling McCall Buick GMC,76325.0,1,$70000-79999,0.0
gmc,sierra,2023,new,0.0,Sterling McCall Buick GMC,90935.0,1,$90000-99999,0.0
gmc,sierra,2023,new,0.0,Sterling McCall Buick GMC,59560.0,1,$50000-59999,0.0
gmc,sierra,2024,new,0.0,Sterling McCall Buick GMC,96235.0,0,$90000-99999,
hyundai,tucson,2023,new,0.0,Sterling McCall Hyundai,37300.0,1,$30000-39999,0.0
hyundai,tucson,2023,new,0.0,Sterling McCall Hyundai,29600.0,1,$20000-29999,0.0
dodge,challenger,2016,used,88582.0,Sterling McCall Hyundai,24999.0,8,$20000-29999,11072.75
jeep,wagoneer,2023,new,0.0,Gillman Jeep,79850.0,1,$70000-79999,0.0
ford,f-250,2022,used,27445.0,Gillman Jeep,65986.0,2,$60000-69999,13722.5
ram,2500,2024,new,0.0,Gillman Chrysler Dodge RAM,88130.0,0,$80000-89999,
toyota,tacoma,2018,used,130989.0,Gillman Chrysler Dodge RAM,25993.0,6,$20000-29999,21831.5
cadillac,xt4,2023,new,0.0,Sewell Cadillac,52910.0,1,$50000-59999,0.0
ram,2500,2024,new,0.0,Wischnewsky Chrysler Dodge Jeep Ram,99140.0,0,$90000-99999,
jeep,wagoneer,2022,used,22135.0,Wischnewsky Chrysler Dodge Jeep Ram,60887.0,2,$60000-69999,11067.5
chevrolet,1,2021,used,44412.0,Wischnewsky Chrysler Dodge Jeep Ram,14443.0,3,$10000-19999,14804.0
ford,mustang,2022,used,811.0,Helfman Ford - Stafford,53944.0,2,$50000-59999,405.5
ford,mustang,2024,new,0.0,Helfman Ford - Stafford,52105.0,0,$50000-59999,
nissan,pathfinder,2023,new,0.0,Sterling McCall Nissan,51785.0,1,$50000-59999,0.0
mercedes,e-class,2023,new,0.0,Mercedes-Benz of West Houston,62970.0,1,$60000-69999,0.0
mercedes,glc,2023,new,0.0,Mercedes-Benz of West Houston,58695.0,1,$50000-59999,0.0
mercedes,amg gt,2023,new,0.0,Mercedes-Benz of West Houston,125250.0,1,$120000-129999,0.0
mercedes,gls 580,2023,new,0.0,Mercedes-Benz of West Houston,114645.0,1,$110000-119999,0.0
mercedes,300,2023,new,0.0,Mercedes-Benz of West Houston,63700.0,1,$60000-69999,0.0
mercedes,e-class,2023,new,0.0,Mercedes-Benz of West Houston,85570.0,1,$80000-89999,0.0
mercedes,4matic,2023,new,0.0,Mercedes-Benz of West Houston,80150.0,1,$80000-89999,0.0
mercedes,gls 600,2023,new,0.0,Mercedes-Benz of West Houston,194800.0,1,$190000-199999,0.0
mercedes,gla,2023,new,0.0,Mercedes-Benz of West Houston,69195.0,1,$60000-69999,0.0
mercedes,300,2023,new,0.0,Mercedes-Benz of West Houston,64410.0,1,$60000-69999,0.0
gmc,sierra,2023,new,0.0,Foy Chevrolet GMC,79360.0,1,$70000-79999,0.0
gmc,acadia,2023,new,0.0,Foy Chevrolet GMC,41880.0,1,$40000-49999,0.0
